Código Cliente,nome_cliente,volume_total,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,taxa_devolucao,produtos,cluster
1886128,COMERCIO AUXILIAR INSTALACAO E SERV,1.8,10291.05,-0.06539663105319672,1.0,0.0,1,0
1884346,JORGE DOVIGI,2.0,14474.925,0.09281844292802899,1.5,0.0,2,0
1884322,MINERACAO AREIAS LTDA,0.4,11177.65,0.1789307233631398,1.0,0.0,1,0
1883406,PARATY LOTEAMENTOS LTDA,0.8,10506.087499999998,0.19036582362368487,2.0,0.0,2,0
1883223,OTIMA TRANSPORTES DE SALVADOR SPE S,0.6000000000000001,12894.316666666666,0.17061780448492164,2.0,0.0,2,0
1882999,RESIDENCIAL JARDIM TROPICAL ITAPIPO,0.79,14606.075949367087,0.19779353138974592,1.3333333333333333,0.0,2,0
1881961,TERMINAL CORREDOR NORTE S.A,5.04,11823.609126984127,0.13992534777489016,2.0,0.0,3,0
1881476,AUREMAR DISTRIBUIDORA LTDA,3.8,9272.586842105264,0.41060817923119736,1.0,0.0,1,0
11130,EXPRESSO UNIR LTDA,2.5,11921.588,0.13141906933874917,1.1428571428571428,0.1,4,0
11019,SOMAI NORDESTE S/A,2.64,11420.272727272726,0.15013605523404683,2.5,0.0,9,0
10945,ALVOAR LACTEOS S/A,2.2800000000000002,11302.184210526315,0.15940328255134661,1.3333333333333333,0.2,3,0
10869,EMPRESA UNIDA MANSUR & FILHOS LTDA,0.4,12112.249999999998,0.13622778591921403,1.0,0.0,2,0
10864,COOP TRANSPORTADORA DE PETROLEO E D,15.36,12797.253906250002,0.20199157717247077,1.8181818181818181,0.0,6,0
10852,COOPERATIVA DOS GRANJEIROS DO OESTE,3.85,12582.184415584416,0.21255079073875016,1.9166666666666667,0.0,10,0
10829,COMPANHIA TECIDOS SANTANENSE,3.56,12827.449438202248,0.20130680081251318,1.4285714285714286,0.0,6,0
10828,COMPANHIA TECIDOS SANTANENSE,1.07,11893.18691588785,0.1597569015795582,3.0,0.05263157894736842,8,0
10814,EMBRAURB EMPRESA BRASILEIRA DE URBA,2.0,10855.369999999999,0.22198183940298677,1.0,0.0,1,0
10805,CONSTRUTORA VALE VERDE S/A,3.22,10878.776397515527,0.1359527897216245,2.75,0.0,5,0
10792,CIA ITABIRITO INDUSTRIAL FIACAO E T,0.4,10093.9,0.24761241938200299,1.0,0.0,1,0
10717,MOBI TRANSPORTE URBANO LTDA,1.6,11804.425000000001,0.16479095762817755,1.1428571428571428,0.0,5,0
10642,CONSTRUTORA NOBREGA PIMENTA LTDA,11.84,12187.523648648648,0.11182583983898021,1.7307692307692308,0.020833333333333332,12,0
