cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv
10962529000140,10962529,0001,40
03977401000194,03977401,0001,94
31759926000199,31759926,0001,99
04299154000187,04299154,0001,87
04299154000268,04299154,0002,68
07283054000150,07283054,0001,50
07283054000231,07283054,0002,31
35029057000106,35029057,0001,06
03773027000105,03773027,0001,05
63455976000179,63455976,0001,79
07041007000109,07041007,0001,09
19094602000183,19094602,0001,83
04423567000393,04423567,0003,93
08797337000183,08797337,0001,83
39711575000158,39711575,0001,58
39711575000310,39711575,0003,10
00000529563347,00000529,5633,47
23445513000101,23445513,0001,01
08624747000122,08624747,0001,22
01632154000169,01632154,0001,69
01179593000168,01179593,0001,68
07558179000146,07558179,0001,46
20350085000145,20350085,0001,45
23742620000100,23742620,0001,00
08219477000174,08219477,0001,74
00001188477838,00001188,4778,38
00078844509334,00078844,5093,34
00072142146368,00072142,1463,68
09411448000172,09411448,0001,72
09554482000104,09554482,0001,04
05601232000119,05601232,0001,19
05325014000107,05325014,0001,07
05325014001090,05325014,0010,90
00006813827324,00006813,8273,24
00083654429300,00083654,4293,00
01444368000101,01444368,0001,01
08072674000103,08072674,0001,03
36206858000154,36206858,0001,54
06635702000128,06635702,0001,28
